2024-03-09 21:02:48:782 | 36ca5a40-b854-462c-b84f-a74ee0ac01dc | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /students | 200 | - | {"success":true,"message":"Get Students"} | 7.482 ms | 41
2024-03-09 21:03:37:208 | 50a81f7c-aa48-401c-bed5-714e1c98361c | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /students | 200 | - | {"success":true,"message":"Get Students"} | 9.073 ms | 41
2024-03-09 21:05:29:923 | c2665539-66c8-49c1-aff3-84e047c067f5 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /students | 500 | - | - | 3.082 ms | -
2024-03-09 21:06:04:684 | 566723ae-6f26-4deb-9a04-b620611605cb | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /students | 500 | - | - | 3.045 ms | -
2024-03-09 21:06:12:610 | 95931ada-1cfe-4536-a6dd-5b57de0a855b | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /students | 200 | - | {"success":true,"message":"Get Students"} | 8.348 ms | 41
2024-03-09 21:07:57:417 | 5d4094b0-a8ab-4b88-b161-5385cb51dd2d | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /students | 500 | - | - | 3.982 ms | -
2024-03-09 21:08:10:593 | 223bc7db-4676-4dd4-9ac9-f5b210e9d19f | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /students | 200 | - | {"success":true,"message":"Get Students"} | 10.127 ms | 41
2024-03-10 05:09:42:776 | 657d4af9-3d61-4717-a0eb-16d0062823ca | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 500 | - | - | 3.695 ms | -
2024-03-10 05:10:30:589 | 23a9c26f-0552-4875-ba9b-3943c3105555 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"Get Students"} | 4.665 ms | 41
2024-03-10 05:11:14:210 | 6f4acb55-8f18-409d-ac8e-d0069f618144 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"Get Students"} | 4.308 ms | 41
2024-03-10 05:11:18:270 | ee03b290-4611-4a57-bdef-39384769fa14 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"Get Students"} | 2.713 ms | 41
2024-03-10 05:14:10:534 | 7b37c11c-d402-4e35-b4c4-ddbe15a5f9ea | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"Get Students"} | 9800.200 ms | 41
2024-03-10 05:14:57:770 | 818a0112-c8ee-4136-b7be-731bd12e6f4b | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"Get Students"} | 5999.941 ms | 41
2024-03-10 05:32:03:523 | 1339297c-7bec-4f69-a20c-6454b5c61bb9 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"Get Students"} | 475074.154 ms | 41
2024-03-10 05:32:59:633 | 1e8a3287-e245-47ce-b160-5b1405b1b867 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"Get Students"} | 11289.557 ms | 41
2024-03-10 05:34:23:114 | 973e77b2-58e2-4cb3-91bd-82881f795309 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"Get Students"} | 11510.902 ms | 41
2024-03-10 05:34:58:166 | b88f699b-90db-464e-9ac6-bb47bc807f44 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"Get Students"} | 104.991 ms | 41
2024-03-10 05:36:34:578 | ee185e17-d682-4454-83de-c9317c44934c | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"Get Students"} | 108.164 ms | 41
2024-03-10 07:37:30:448 | ffa42a10-5552-4244-9749-065d353b5fcb | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"Get Students"} | 30596.434 ms | 41
2024-03-10 07:51:06:603 | 7556c834-e838-486e-a341-13659b018231 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"PDF Generated Successfully"} | 6555.118 ms | 55
2024-03-10 07:55:20:402 | 3c76acc3-b1cc-4eb2-a3ab-ce2566e57102 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"PDF Generated Successfully"} | 4840.244 ms | 55
2024-03-10 07:56:08:924 | b60108c5-323b-40c2-b318-4602cd8b294c | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"PDF Generated Successfully"} | 111.103 ms | 55
2024-03-10 07:57:05:779 | f2a81b64-3f0a-4bee-80eb-358b7d54660b | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"PDF Generated Successfully"} | 21619.055 ms | 55
2024-03-10 07:59:58:412 | 8b622bb8-d606-487c-8928-3801113cd3b5 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"PDF Generated Successfully"} | 17035.342 ms | 55
2024-03-10 08:02:00:821 | a15682c3-5cde-4382-8f0f-c7deedf997b0 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"PDF Generated Successfully"} | 4613.092 ms | 55
2024-03-10 08:03:03:785 | ee18792a-087e-4071-a361-ba92e9f58b03 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"PDF Generated Successfully"} | 4526.765 ms | 55
2024-03-10 08:03:34:285 | 8780edb6-b727-4a9e-956a-27deeffd811d | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"PDF Generated Successfully"} | 9449.265 ms | 55
2024-03-10 08:06:08:623 | 16615c0d-c475-41fd-bc46-a6028aebdbf9 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"PDF Generated Successfully"} | 5358.688 ms | 55
2024-03-10 08:06:45:932 | 3b44ca97-c4f0-4b17-97cd-30e81613a32d | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"PDF Generated Successfully"} | 2401.586 ms | 55
2024-03-10 08:06:59:381 | 5d57d77c-3da6-43b0-aeaf-122ac269fb2b | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"PDF Generated Successfully"} | 76.097 ms | 55
2024-03-10 08:07:14:493 | d4677a01-6758-4652-931b-b7e2566bc5ff | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"PDF Generated Successfully"} | 4825.596 ms | 55
2024-03-10 08:11:30:546 | 32fa49a6-abf1-45d6-8721-2d5e37908343 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"PDF Generated Successfully"} | 18299.286 ms | 55
2024-03-10 08:11:58:998 | c7df3028-25d5-4d85-9721-21c6eda04ebc | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"PDF Generated Successfully"} | 16590.902 ms | 55
2024-03-10 08:12:07:096 | 6baa1e86-0378-4b86-9198-b2b54f7d2f6b | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"PDF Generated Successfully"} | 5813.165 ms | 55
2024-03-10 08:13:33:964 | 99e87848-4cc7-4a0a-828c-dfd4922f635a | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"PDF Generated Successfully"} | 4010.676 ms | 55
2024-03-10 08:15:08:608 | 88ba8ae3-c79b-418b-a6ce-d2a796535029 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"downloads/student_cards.pdf"}} | 1839.260 ms | 111
2024-03-10 08:17:17:903 | dd5d3cb7-f3dd-4410-a074-b9334eb7aec8 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 9182.078 ms | 157
2024-03-10 08:18:10:560 | e8578234-f722-494f-b48d-f26c508eea64 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 2516.002 ms | 157
2024-03-10 08:20:31:968 | b875110e-eb19-4079-ba7c-94a95da276d8 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCards | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 2768.226 ms | 157
2024-03-10 08:23:55:491 | 12a38aab-fbbb-46c1-8385-772785733dee | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 5898.007 ms | 157
2024-03-10 08:24:04:739 | 26a65e95-2807-4a67-8584-d23adc5d8e43 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 67.723 ms | 157
2024-03-10 08:28:43:625 | 565ac004-bab1-4e3a-a398-f824a8d0d23d | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 106.660 ms | 157
2024-03-10 08:28:55:713 | 57bfef5c-82b2-4cf2-a13c-77a4a32566b9 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsAsync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 82.658 ms | 157
2024-03-10 08:29:21:545 | b7b1da67-fbbe-448e-afc4-86ef62cd5c74 | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 82.240 ms | 157
2024-03-10 08:29:30:874 | abf360be-7f47-4c53-b1d8-fc1d63fc71dd | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 63.774 ms | 157
2024-03-10 08:29:31:945 | d78f9b91-2f60-47c1-b9fe-60c2c69d356f | ::1 | - | - | PostmanRuntime/7.36.3 | GET | /generateIdCardsSync | 200 | - | {"success":true,"message":"Pdf Generated Successfully","data":{"outputFilepath":"/Users/atulnt/Node/atul-assignment/service/../downloads/student_cards.pdf"}} | 50.959 ms | 157
