info: () => {
  return format(new Date(), "yyyy-MM-dd HH:mm:ss:SSS");
} | 36ca5a40-b854-462c-b84f-a74ee0ac01dc | studentsController | getStudent | {} {"service":"atul-assigment"}
info: 2024-03-09 21:03:37:195 | 50a81f7c-aa48-401c-bed5-714e1c98361c | studentsController | getStudent | {} {"service":"atul-assigment"}
error: 2024-03-09 21:05:56:951 | undefined | undefined | undefined | undefined {"service":"atul-assigment"}
info: 2024-03-09 21:06:12:597 | 95931ada-1cfe-4536-a6dd-5b57de0a855b | studentsController | getStudent | {} {"service":"atul-assigment"}
info: 2024-03-09 21:08:10:580 | 223bc7db-4676-4dd4-9ac9-f5b210e9d19f | studentsController | getStudent | {} {"service":"atul-assigment"}
info: 2024-03-09 21:10:16:363 | 527b364b-0310-4f25-88d0-d82e513f79a0 | index | listener | {"message":"server started"} {"service":"atul-assigment"}
info: 2024-03-09 21:10:47:613 | 352df466-a005-48de-9fdf-32f19c2b9111 | index | listener | {"message":"server started on 3050"} {"service":"atul-assigment"}
info: 2024-03-09 21:12:37:749 | 6269e53a-9a89-42cb-8772-2c1e91d9c667 | index | listener | {"message":"server started on 3050"} {"service":"atul-assigment"}
info: 2024-03-09 21:12:39:566 | cca9b439-79bc-4a4b-b593-42c56da72f18 | index | listener | {"message":"server started on 3050"} {"service":"atul-assigment"}
info: 2024-03-09 21:12:39:576 | 24bd7de9-36f3-454a-882a-680965133a55 | index | listener | {"message":"server started on 3050"} {"service":"atul-assigment"}
info: 2024-03-09 21:13:25:043 | 68256ca6-6c87-43fb-a0aa-a9bd929ca1e4 | routes | listener | {"message":"loaded route students"} {"service":"atul-assigment"}
info: 2024-03-09 21:13:25:058 | 6afdc97c-6955-4024-b49e-b2998e0f6249 | index | listener | {"message":"server started on 3050"} {"service":"atul-assigment"}
info: 2024-03-09 21:13:34:010 | 5b5e2669-fec1-49b8-9580-a369aa8918d9 | routes | listener | {"message":"loaded route students"} {"service":"atul-assigment"}
info: 2024-03-09 21:13:34:026 | 9cb2907d-2678-4b05-a10d-2d6770b9bece | index | listener | {"message":"server started on 3050"} {"service":"atul-assigment"}
info: 2024-03-09 21:18:31:329 | 3e7271fc-fa12-401f-a88a-8e7b5f3938d3 | routes | listener | {"message":"loaded route students"} {"service":"atul-assigment"}
info: 2024-03-09 21:18:31:347 | e7285ef8-04fd-4764-9919-a874571aac17 | index | listener | {"message":"server started on 3050"} {"service":"atul-assigment"}
info: 2024-03-09 21:18:53:015 | 0b7cde26-6632-4ce0-a454-9530adf92504 | routes | listener | {"message":"loaded route students"} {"service":"atul-assigment"}
info: 2024-03-09 21:18:53:030 | 8e57aecf-459d-43f8-a386-199b9f892707 | index | listener | {"message":"server started on 3050"} {"service":"atul-assigment"}
